Variable,RMSE,MAE,R2,ModelEfficiency,Bias,n
Yield,1779.128965545125,1341.6583333333333,-1.578555202571287,-1.578555202571287,-1341.6583333333333,15
GrainWeight,4.876012715323864,4.670000000000001,-65.55660964230171,-65.55660964230171,-3.816666666666667,15
GrainNitrogen,64.60614134894607,56.263333333333335,-2.444621810404312,-2.444621810404312,-56.263333333333335,15
