*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  FEB 02, 2026 11:46:55

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!               |---------- Daily (g/ha) ----------|------- Cumulative (kg/ha) --------|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!               Soil CO2  Net CO2      N2O      CH4 Soil CO2  Net CO2      N2O      CH4  Net CO2      N2O      CH4    Total
!                g[C]/ha  g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   CO2END   N2OGED   CH4GED    CO2EC   CO2ENC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
   15 077     1    12360     1656     0.01     0.00       12        2     0.00     0.00        6        0        0        6
   15 078     2    10581     1563     0.01     0.00       23        3     0.00     0.00       12        0        0       12
   15 079     3     8293     1313     0.01     0.00       31        5     0.00     0.00       17        0        0       17
   15 080     4     5921     1031     0.02     0.00       37        6     0.00     0.00       20        0        0       20
   15 081     5     3797      656     0.02     0.00       41        6     0.00     0.00       23        0        0       23
   15 082     6      821      281     0.02     0.00       42        7     0.00     0.00       24        0        0       24
   15 083     7      130        0     0.02     0.00       42        7     0.00     0.00       24        0        0       24
   15 084     8      146      125     0.03     0.00       42        7     0.00     0.00       24        0        0       24
   15 085     9      675      219     0.03     0.00       43        7     0.00     0.00       25        0        0       25
   15 086    10      786      219     0.03     0.00       44        7     0.00     0.00       26        0        0       26
   15 087    11     1747      406     0.03     0.00       45        7     0.00     0.00       27        0        0       28
   15 088    12     2843      656     0.03     0.00       48        8     0.00     0.00       30        0        0       30
   15 089    13     3811      813     0.04     0.00       52        9     0.00     0.00       33        0        0       33
   15 090    14     3354      531     0.03     0.00       55        9     0.00     0.00       35        0        0       35
   15 091    15     3994      625     0.03     0.00       59       10     0.00     0.00       37        0        0       37
   15 092    16     2685      500     0.02     0.00       62       11     0.00     0.00       39        0        0       39
   15 093    17     1332      281     0.02     0.00       63       11     0.00     0.00       40        0        0       40
   15 094    18       74        0     0.04     0.00       63       11     0.00     0.00       40        0        0       40
   15 095    19       14       31     0.03     0.00       63       11     0.00     0.00       40        0        0       40
   15 096    20        0        0     0.05     0.00       63       11     0.00     0.00       40        0        0       40
   15 097    21        0        0     0.06     0.00       63       11     0.00     0.00       40        0        0       40
   15 098    22        0        0     0.06     0.00       63       11     0.00     0.00       40        0        0       40
   15 099    23        0        0     0.30     0.00       63       11     0.00     0.00       40        0        0       40
   15 100    24       72       31     0.60     0.00       63       11     0.00     0.00       40        1        0       41
   15 101    25     3153      531     0.93     0.00       67       11     0.00     0.00       42        1        0       43
   15 102    26     6960     1219     1.28     0.00       74       13     0.00     0.00       47        2        0       48
   15 103    27    10138     1813     1.62     0.00       84       15     0.01     0.00       53        3        0       56
   15 104    28    11731     2219     1.88     0.00       95       17     0.01     0.00       61        3        0       65
   15 105    29    11871     2375     2.00     0.00      107       19     0.01     0.00       70        4        0       74
   15 106    30    12515     2781     2.05     0.00      120       22     0.01     0.00       80        5        0       86
   15 107    31    13184     3063     2.03     0.00      133       25     0.01     0.00       92        6        0       98
   15 108    32    15845     2656     0.59     0.00      149       28     0.01     0.00      101        7        0      108
   15 109    33    13878     1938     1.35     0.00      163       30     0.02     0.00      108        7        0      116
   15 110    34    11581     1625     1.81     0.00      174       31     0.02     0.00      114        8        0      122
   15 111    35     8543     1313     1.65     0.00      183       32     0.02     0.00      119        9        0      128
   15 112    36     6140     1094     1.50     0.00      189       34     0.02     0.00      123        9        0      133
   15 113    37     5871     1094     1.36     0.00      195       35     0.02     0.00      127       10        0      137
   15 114    38     5984     1281     1.24     0.00      201       36     0.02     0.00      132       11        0      143
   15 115    39     6907     1469     1.13     0.00      208       37     0.02     0.00      137       11        0      148
   15 116    40     7856     1813     1.00     0.00      216       39     0.02     0.00      144       12        0      156
   15 117    41     9486     2250     0.89     0.00      225       41     0.03     0.00      152       12        0      164
   15 118    42    11665     2375     0.75     0.00      237       44     0.03     0.00      161       12        0      173
   15 119    43    12715     2563     0.39     0.00      249       46     0.03     0.00      170       13        0      183
   15 120    44    11981     2219     0.57     0.00      261       49     0.03     0.00      178       13        0      191
   15 121    45    11496     2188     0.55     0.00      273       51     0.03     0.00      186       13        0      200
   15 122    46     7867     1938     0.18     0.00      281       53     0.03     0.00      194       13        0      207
   15 123    47     6594     1531     0.26     0.00      287       54     0.03     0.00      199       13        0      213
   15 124    48     7754     2094     0.15     0.00      295       56     0.03     0.00      207       13        0      220
   15 125    49    11931     2844     0.29     0.00      307       59     0.03     0.00      217       14        0      231
   15 126    50    14639     3719     0.24     0.00      322       63     0.03     0.00      231       14        0      245
   15 127    51    14216     4250     0.15     0.00      336       67     0.03     0.00      247       14        0      260
   15 128    52    16082     4438     0.26     0.00      352       72     0.03     0.00      263       14        0      277
   15 129    53    16438     4719     0.31     0.00      368       76     0.03     0.00      280       14        0      294
   15 130    54    14996     4406     0.23     0.00      383       81     0.03     0.00      296       14        0      310
   15 131    55    12874     4031     0.28     0.00      396       85     0.03     0.00      311       14        0      325
   15 132    56    13023     4344     0.27     0.00      409       89     0.03     0.00      327       14        0      341
   15 133    57    13871     5031     0.27     0.00      423       94     0.03     0.00      346       15        0      360
   15 134    58    14750     5188     0.22     0.00      438       99     0.03     0.00      365       15        0      379
   15 135    59    14478     5406     0.27     0.00      452      105     0.03     0.00      384       15        0      399
   15 136    60    13686     5313     0.28     0.00      466      110     0.03     0.00      404       15        0      419
   15 137    61    13194     5188     0.28     0.00      479      115     0.03     0.00      423       15        0      438
   15 138    62    11892     4844     0.28     0.00      491      120     0.03     0.00      441       15        0      456
   15 139    63    11109     4563     0.29     0.00      502      125     0.03     0.00      457       15        0      473
   15 140    64    11704     4281     0.11     0.00      514      129     0.03     0.00      473       15        0      489
   15 141    65    10496     4125     0.09     0.00      525      133     0.03     0.00      488       15        0      504
   15 142    66    10073     3781     0.15     0.00      535      137     0.03     0.00      502       15        0      518
   15 143    67     9326     3281     0.23     0.00      544      140     0.03     0.00      514       16        0      530
   15 144    68     7882     2969     0.19     0.00      552      143     0.03     0.00      525       16        0      541
   15 145    69     7422     2688     0.22     0.00      559      146     0.03     0.00      535       16        0      551
