*EVALUATION : TUDU1501WH                                                              DSSAT Cropping System Model Ver. 4.8.5.000   -release    FEB 02, 2026; 11:46:55

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
   1 TUDU1501WH     1  1 WH      99  182729     -99     -99     -99     -99     148   35509    5983 37 6135     -99     -99   16096     -99    37.2     -99    40.2     -99   12857     -99       0     -99    3.70     -99   0.465     -99     -99     -99     100     -99     122     -99       0     -99     1.7     -99       2     -99      35     -99    0.00     -99      12     -99
   2 TUDU1501WH     2  1 WH      99   36629     -99     -99     -99     -99     148   35509    6081 37 7361     -99     -99   16307     -99    37.3     -99    40.8     -99   13065     -99       0     -99    3.82     -99   0.465     -99     -99     -99     102     -99     125     -99       0     -99     1.7     -99       2     -99      35     -99    0.00     -99      12     -99
   3 TUDU1501WH     3  1 WH      99   73154     -99     -99     -99     -99     148   35509    3299 37 6322     -99     -99    7386     -99    44.7     -99    18.5     -99    6176     -99       0     -99    1.55     -99   0.534     -99     -99     -99      52     -99      61     -99       0     -99     1.6     -99       2     -99      35     -99    0.00     -99      12     -99
   4 TUDU1501WH     4  1 WH      99  146204     -99     -99     -99     -99     148   35509    6057 37 6934     -99     -99   16245     -99    37.3     -99    40.6     -99   13010     -99       0     -99    3.78     -99   0.466     -99     -99     -99     102     -99     124     -99       0     -99     1.7     -99       2     -99      35     -99    0.00     -99      12     -99
   5 TUDU1501WH     5  1 WH      99     104     -99     -99     -99     -99     148   35509    6511 37 7360     -99     -99   17666     -99    36.9     -99    44.2     -99   14442     -99       0     -99    4.63     -99   0.451     -99     -99     -99     127     -99     153     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      12     -99
   6 TUDU1501WH     6  1 WH      99  219254     -99     -99     -99     -99     148   35509    5983 37 6886     -99     -99   16082     -99    37.2     -99    40.2     -99   12843     -99       0     -99    3.68     -99   0.466     -99     -99     -99     100     -99     122     -99       0     -99     1.7     -99       2     -99      35     -99    0.00     -99      12     -99
   7 TUDU1501WH     7  1 WH      99   36629     -99     -99     -99     -99     148   35509    6488 37 7711     -99     -99   17467     -99    37.1     -99    43.7     -99   14340     -99       0     -99    4.60     -99   0.452     -99     -99     -99     115     -99     141     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      12     -99
   8 TUDU1501WH     8  1 WH      99  255779     -99     -99     -99     -99     148   35509    6828 37 7727     -99     -99   18242     -99    37.4     -99    45.6     -99   15084     -99       0     -99    5.05     -99   0.453     -99     -99     -99     137     -99     164     -99       0     -99     2.0     -99       2     -99      35     -99    0.00     -99      12     -99
   9 TUDU1501WH     9  1 WH      99  292304     -99     -99     -99     -99     148   35509    6971 37 8208     -99     -99   18641     -99    37.4     -99    46.6     -99   15532     -99       0     -99    5.34     -99   0.449     -99     -99     -99     145     -99     172     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      12     -99
  10 TUDU1501WH    10  1 WH      99  328829     -99     -99     -99     -99     148   35509    3299 37 6569     -99     -99    7386     -99    44.7     -99    18.5     -99    6176     -99       0     -99    1.55     -99   0.534     -99     -99     -99      52     -99      62     -99       0     -99     1.6     -99       2     -99      35     -99    0.00     -99      12     -99
  11 TUDU1501WH    11  1 WH      99   73154     -99     -99     -99     -99     148   35509    6828 37 8142     -99     -99   18242     -99    37.4     -99    45.6     -99   15084     -99       0     -99    5.05     -99   0.453     -99     -99     -99     137     -99     164     -99       0     -99     2.0     -99       2     -99      35     -99    0.00     -99      12     -99
  12 TUDU1501WH    12  1 WH      99  219254     -99     -99     -99     -99     148   35509    6960 37 8136     -99     -99   18603     -99    37.4     -99    46.5     -99   15492     -99       0     -99    5.32     -99   0.449     -99     -99     -99     144     -99     172     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      12     -99
  13 TUDU1501WH    13  1 WH      99   73154     -99     -99     -99     -99     148   35509    6806 37 7992     -99     -99   18176     -99    37.4     -99    45.4     -99   15016     -99       0     -99    5.01     -99   0.453     -99     -99     -99     137     -99     163     -99       0     -99     2.0     -99       2     -99      35     -99    0.00     -99      12     -99
  14 TUDU1501WH    14  1 WH      99  255779     -99     -99     -99     -99     148   35509    6725 37 7907     -99     -99   17673     -99    38.1     -99    44.2     -99   14533     -99       0     -99    4.63     -99   0.463     -99     -99     -99     141     -99     166     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      12     -99
  15 TUDU1501WH    15  1 WH      99   73154     -99     -99     -99     -99     148   35509    3285 37 3602     -99     -99    7386     -99    44.5     -99    18.5     -99    6162     -99       0     -99    1.55     -99   0.533     -99     -99     -99      47     -99      56     -99       0     -99     1.4     -99       2     -99      35     -99    0.00     -99      12     -99
