*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  FEB 02, 2026 11:46:55

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!                                                                                                                                                                                                                                             Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                             0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210
@YEAR DOY   DAS   DAP    DCCD  GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   G#AD2  GWGD   HIAD   SHAD   WSPD   WSGD   SLFT   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   TPSM   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   RL10D   CDAD   LDAD   SDAD   SNW0C   SNW1C    DTTD   SUMDTT
   15 092    16    15  10.637     1  0.024     13      0      0     25     15     15      0      0    0.0  0.000      2   0.00   0.00   1.00   0.00   0.00   0.00   0.00   1.00   6.06  400.0   0.00      0      2    392.0   0.00   0.00 0.0861   0.041   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0   3.000   12.731
   15 093    17    16  10.827     1  0.028     14      0      0     26     17     17      0      0    0.0  0.000      3   0.00   0.00   1.00   0.00   0.00   0.00   0.00   1.00   5.74  400.0   0.00      0      3    389.7   0.00   0.00 0.0958   0.041   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0   5.097   16.550
   15 094    18    17  10.941     1  0.029     14      0      0     26     18     18      0      0    0.0  0.000      3   0.00   0.00   1.00   0.00   0.00   0.00   0.00   1.00   6.00  400.0   0.00      0      3    388.3   0.00   0.00 0.1014   0.040   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0   3.000   18.821
   15 095    19    18  11.063     1  0.031     15      0      0     27     19     19      0      0    0.0  0.000      4   0.00   0.00   1.00   0.00   0.00   0.00   0.00   1.00   6.04  400.0   0.00      0      4    386.9   0.00   0.00 0.1075   0.040   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0   3.195   21.259
   15 096    20    19  11.186     1  0.033     15      0      0     28     20     20      0      0    0.0  0.000      4   0.00   0.00   1.00   0.00   0.00   0.00   0.00   1.00   6.02  400.0   0.00      0      4    385.5   0.00   0.00 0.1136   0.040   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0   3.195   23.715
   15 097    21    20  11.348     1  0.036     16      0      0     29     22     22      0      0    0.0  0.000      5   0.00   0.00   1.00   0.00   0.00   0.00   0.00   1.00   5.82  400.0   0.00      0      5    383.6   0.00   0.00 0.1215   0.039   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0   4.195   26.965
   15 098    22    21  11.602     1  0.044     19      0      0     31     27     27      0      0    0.0  0.000      7   0.00   0.00   1.00   0.00   0.00   0.00   0.00   1.00   5.13  400.0   0.00      0      7    380.8   0.00   0.00 0.1339   0.039   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0   6.500   32.037
   15 099    23    22  11.994     1  0.056     27      0      0     33     38     38      0      0    0.0  0.000     10   0.00   0.00   1.00   0.00   0.00   0.00   0.00   1.00   4.38  400.0   0.00      0     10    376.5   0.00   0.00 0.1529   0.039   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  10.000   39.882
   15 100    24    23  12.428     1  0.068     32      0      0     35     46     46      0      0    0.0  0.000     14   0.00   0.00   1.00   0.47   0.00   0.00   0.00   1.00   5.09  400.0   0.00      0     14    372.0   0.00   0.00 0.1722   0.039   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  11.000   48.554
   15 101    25    24  12.883     1  0.081     40      0      0     38     58     58      0      0    0.0  0.000     17   0.00   0.00   1.00   0.29   0.00   0.00   0.00   1.00   4.81  400.0   0.00      0     17    367.4   0.00   0.00 0.1925   0.039   0.005   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  11.500   57.659
