
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  FEB 02, 2026 11:46:55

!                              |--------------- Initial N State Variables ----------------|----------------- Final N State Variables -----------------|------------- N Additions -------------|---------------- N Subtractions -----------------|--Mineralization---|----- Seasonal Balance -----|
!                              |----------------- Organic ----------------------|         |------------------ Organic ----------------------|         |  Harvest   Applied                    |              Tile-     Plant     N gas     Flood|   Miner-    Immob-|                            |
!                              | Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Residue   Residue  Fertiliz   Senesed|  Leached   drained    Uptake    Losses    Losses|   alized    ilized|Inorganic   Organic   Overall
@Run FILEX               TN CR     SN0Di    S1NTDi    S2NTDi    S3NTDi     LNTDi     NIADi      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      TDFC      NUCM     NGasC      RNRO      NMNC      NIMC    InNBal   OrgNBal     SNBAL
   1 TUDU1501.WHX         1 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.06      0.00     13.15     85.78      0.00      0.00    120.00      0.00      7.79      0.00    159.71     17.28      0.00     48.36      0.39      0.00      0.00      0.00
   2 TUDU1501.WHX         2 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.20      0.00     13.14     99.02      0.00      0.00    120.00      0.00      7.70      0.00    163.16      0.54      0.00     48.22      0.40     -0.00      0.00     -0.00
   3 TUDU1501.WHX         3 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16825.79      0.00     12.25    102.82      0.00      0.00     40.00      0.00     14.23      0.00     78.38      1.30      0.00     54.48      0.35     -0.00      0.00     -0.00
   4 TUDU1501.WHX         4 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.17      0.00     13.15     98.26      0.00      0.00    120.00      0.00      7.77      0.00    162.29      2.13      0.00     48.25      0.40      0.00      0.00      0.00
   5 TUDU1501.WHX         5 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.39      0.00     13.01     65.52      0.00      0.00    120.00      0.00      6.23      0.00    196.83      1.78      0.00     48.17      0.40     -0.00      0.00     -0.00
   6 TUDU1501.WHX         6 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.05      0.00     13.15     95.71      0.00      0.00    120.00      0.00      7.80      0.00    159.74      7.32      0.00     48.37      0.40      0.00      0.00      0.00
   7 TUDU1501.WHX         7 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.35      0.00     13.01     77.36      0.00      0.00    120.00      0.00      6.53      0.00    184.42      2.11      0.00     48.22      0.40     -0.00      0.00      0.00
   8 TUDU1501.WHX         8 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.55      0.00     12.90    101.63      0.00      0.00    180.00      0.00      5.19      0.00    210.83     12.67      0.00     48.12      0.40      0.00      0.00      0.00
   9 TUDU1501.WHX         9 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.50      0.00     12.83    104.35      0.00      0.00    180.00      0.00      4.38      0.00    220.61      1.09      0.00     48.23      0.40     -0.00      0.00      0.00
  10 TUDU1501.WHX        10 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16825.79      0.00     12.25    122.53      0.00      0.00     60.00      0.00     14.23      0.00     78.57      1.40      0.00     54.48      0.35     -0.00      0.00     -0.00
  11 TUDU1501.WHX        11 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.55      0.00     12.90    101.63      0.00      0.00    180.00      0.00      5.19      0.00    210.83     12.67      0.00     48.12      0.40      0.00      0.00      0.00
  12 TUDU1501.WHX        12 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.49      0.00     12.84    103.29      0.00      0.00    180.00      0.00      4.46      0.00    219.75      2.95      0.00     48.24      0.40      0.00      0.00      0.00
  13 TUDU1501.WHX        13 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.53      0.00     12.91    101.87      0.00      0.00    180.00      0.00      5.31      0.00    209.91     13.24      0.00     48.13      0.40      0.00      0.00      0.00
  14 TUDU1501.WHX        14 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16831.16      0.00     13.00    110.57      0.00      0.00    180.00      0.00      6.23      0.00    211.41      2.40      0.00     48.41      0.40      0.00      0.00      0.00
  15 TUDU1501.WHX        15 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16825.73      0.00     12.23     69.13      0.00      0.00      0.00      0.00     14.23      0.00     73.30      0.14      0.00     54.56      0.35     -0.00      0.00     -0.00
