Aussaat_ID,Versuchsjahr,Termin,Parzelle_ID,Vorfrucht,Saatstaerke_Anzahl_m2,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID
3690,2016,2016-05-04T00:00:00,42,0,,,30,,18
3691,2016,2016-05-04T00:00:00,43,0,,,30,,18
3692,2016,2016-05-04T00:00:00,44,0,,,30,,18
3693,2016,2016-05-04T00:00:00,45,0,,,30,,18
3694,2016,2016-05-04T00:00:00,46,0,,,30,,18
3695,2016,2016-05-04T00:00:00,47,0,,,30,,18
3696,2016,2016-05-04T00:00:00,48,0,,,30,,18
3697,2016,2016-05-04T00:00:00,49,0,,,30,,18
3698,2016,2016-05-04T00:00:00,50,0,,,30,,18
3699,2016,2016-05-04T00:00:00,51,0,,,30,,18
3700,2016,2016-05-04T00:00:00,52,0,,,30,,18
3701,2016,2016-05-04T00:00:00,53,0,,,30,,18
3702,2016,2016-05-04T00:00:00,54,0,,,30,,18
3703,2016,2016-05-04T00:00:00,55,0,,,30,,18
3704,2016,2016-05-04T00:00:00,56,0,,,30,,18
3705,2016,2016-05-04T00:00:00,57,0,,,30,,18
3706,2016,2016-05-04T00:00:00,58,0,,,30,,18
3707,2016,2016-05-04T00:00:00,59,0,,,30,,18
3708,2016,2016-05-04T00:00:00,60,0,,,30,,18
3709,2016,2016-05-04T00:00:00,61,0,,,30,,18
3710,2016,2016-05-04T00:00:00,62,0,,,30,,18
3711,2016,2016-05-04T00:00:00,63,0,,,30,,18
3712,2016,2016-05-04T00:00:00,64,0,,,30,,18
3713,2017,2016-10-24T00:00:00,1,0,,,,,15
3714,2017,2016-10-24T00:00:00,2,0,,,,,15
3715,2017,2016-10-24T00:00:00,3,0,,,,,15
3716,2017,2016-10-24T00:00:00,4,0,,,,,15
3717,2017,2016-10-24T00:00:00,5,0,,,,,15
3718,2017,2016-10-24T00:00:00,6,0,,,,,15
3719,2017,2016-10-24T00:00:00,7,0,,,,,15
3720,2017,2016-10-24T00:00:00,8,0,,,,,15
3721,2017,2016-10-24T00:00:00,9,0,,,,,15
3722,2017,2016-10-24T00:00:00,10,0,,,,,15
3723,2017,2016-10-24T00:00:00,11,0,,,,,15
3724,2017,2016-10-24T00:00:00,12,0,,,,,15
3725,2017,2016-10-24T00:00:00,13,0,,,,,15
3726,2017,2016-10-24T00:00:00,14,0,,,,,15
3727,2017,2016-10-24T00:00:00,15,0,,,,,15
3728,2017,2016-10-24T00:00:00,16,0,,,,,15
3729,2017,2016-10-24T00:00:00,17,0,,,,,15
3730,2017,2016-10-24T00:00:00,18,0,,,,,15
3731,2017,2016-10-24T00:00:00,19,0,,,,,15
3732,2017,2016-10-24T00:00:00,20,0,,,,,15
3733,2017,2016-10-24T00:00:00,21,0,,,,,15
3734,2017,2016-10-24T00:00:00,22,0,,,,,15
3735,2017,2016-10-24T00:00:00,23,0,,,,,15
3736,2017,2016-10-24T00:00:00,24,0,,,,,15
3737,2017,2016-10-24T00:00:00,25,0,,,,,15
3738,2017,2016-10-24T00:00:00,26,0,,,,,15
3739,2017,2016-10-24T00:00:00,27,0,,,,,15
3740,2017,2016-10-24T00:00:00,28,0,,,,,15
3741,2017,2016-10-24T00:00:00,29,0,,,,,15
3742,2017,2016-10-24T00:00:00,30,0,,,,,15
3743,2017,2016-10-24T00:00:00,31,0,,,,,15
3744,2017,2016-10-24T00:00:00,32,0,,,,,15
3745,2017,2016-10-24T00:00:00,33,0,,,,,15
3746,2017,2016-10-24T00:00:00,34,0,,,,,15
3747,2017,2016-10-24T00:00:00,35,0,,,,,15
3748,2017,2016-10-24T00:00:00,36,0,,,,,15
3749,2017,2016-10-24T00:00:00,37,0,,,,,15
3750,2017,2016-10-24T00:00:00,38,0,,,,,15
3751,2017,2016-10-24T00:00:00,39,0,,,,,15
3752,2017,2016-10-24T00:00:00,40,0,,,,,15
3753,2017,2016-10-24T00:00:00,41,0,,,,,15
3754,2017,2016-10-24T00:00:00,42,0,,,,,15
3755,2017,2016-10-24T00:00:00,43,0,,,,,15
3756,2017,2016-10-24T00:00:00,44,0,,,,,15
3757,2017,2016-10-24T00:00:00,45,0,,,,,15
3758,2017,2016-10-24T00:00:00,46,0,,,,,15
3759,2017,2016-10-24T00:00:00,47,0,,,,,15
3760,2017,2016-10-24T00:00:00,48,0,,,,,15
3761,2017,2016-10-24T00:00:00,49,0,,,,,15
3762,2017,2016-10-24T00:00:00,50,0,,,,,15
3763,2017,2016-10-24T00:00:00,51,0,,,,,15
3764,2017,2016-10-24T00:00:00,52,0,,,,,15
3765,2017,2016-10-24T00:00:00,53,0,,,,,15
3766,2017,2016-10-24T00:00:00,54,0,,,,,15
3767,2017,2016-10-24T00:00:00,55,0,,,,,15
3768,2017,2016-10-24T00:00:00,56,0,,,,,15
3769,2017,2016-10-24T00:00:00,57,0,,,,,15
3770,2017,2016-10-24T00:00:00,58,0,,,,,15
3771,2017,2016-10-24T00:00:00,59,0,,,,,15
3772,2017,2016-10-24T00:00:00,60,0,,,,,15
