Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID
3306,2017,2017-08-07T00:00:00,10,15
3307,2017,2017-08-07T00:00:00,11,15
3308,2017,2017-08-07T00:00:00,12,15
3309,2017,2017-08-07T00:00:00,13,15
3310,2017,2017-08-07T00:00:00,14,15
3311,2017,2017-08-07T00:00:00,15,15
3312,2017,2017-08-07T00:00:00,16,15
3313,2017,2017-08-07T00:00:00,17,15
3314,2017,2017-08-07T00:00:00,18,15
3315,2017,2017-08-07T00:00:00,19,15
3316,2017,2017-08-07T00:00:00,20,15
3317,2017,2017-08-07T00:00:00,21,15
3318,2017,2017-08-07T00:00:00,22,15
3319,2017,2017-08-07T00:00:00,23,15
3320,2017,2017-08-07T00:00:00,24,15
3321,2017,2017-08-07T00:00:00,25,15
3322,2017,2017-08-07T00:00:00,26,15
3323,2017,2017-08-07T00:00:00,27,15
3324,2017,2017-08-07T00:00:00,28,15
3325,2017,2017-08-07T00:00:00,29,15
3326,2017,2017-08-07T00:00:00,30,15
3327,2017,2017-08-07T00:00:00,31,15
3328,2017,2017-08-07T00:00:00,32,15
3329,2017,2017-08-07T00:00:00,33,15
3330,2017,2017-08-07T00:00:00,34,15
3331,2017,2017-08-07T00:00:00,35,15
3332,2017,2017-08-07T00:00:00,36,15
3333,2017,2017-08-07T00:00:00,37,15
3334,2017,2017-08-07T00:00:00,38,15
3335,2017,2017-08-07T00:00:00,39,15
3336,2017,2017-08-07T00:00:00,40,15
3337,2017,2017-08-07T00:00:00,41,15
3338,2017,2017-08-07T00:00:00,42,15
3339,2017,2017-08-07T00:00:00,43,15
3340,2017,2017-08-07T00:00:00,44,15
3341,2017,2017-08-07T00:00:00,45,15
3342,2017,2017-08-07T00:00:00,46,15
3343,2017,2017-08-07T00:00:00,47,15
3344,2017,2017-08-07T00:00:00,48,15
3345,2017,2017-08-07T00:00:00,49,15
3346,2017,2017-08-07T00:00:00,50,15
3347,2017,2017-08-07T00:00:00,51,15
3348,2017,2017-08-07T00:00:00,52,15
3349,2017,2017-08-07T00:00:00,53,15
3350,2017,2017-08-07T00:00:00,54,15
3351,2017,2017-08-07T00:00:00,55,15
3352,2017,2017-08-07T00:00:00,56,15
3353,2017,2017-08-07T00:00:00,57,15
3354,2017,2017-08-07T00:00:00,58,15
3355,2017,2017-08-07T00:00:00,59,15
3356,2017,2017-08-07T00:00:00,60,15
3357,2017,2017-08-07T00:00:00,61,15
3358,2017,2017-08-07T00:00:00,62,15
3359,2017,2017-08-07T00:00:00,63,15
3360,2017,2017-08-07T00:00:00,64,15
3361,2018,2018-09-26T00:00:00,1,1
3362,2018,2018-09-26T00:00:00,2,1
3363,2018,2018-09-26T00:00:00,3,1
3364,2018,2018-09-26T00:00:00,4,1
3365,2018,2018-09-26T00:00:00,5,1
3366,2018,2018-09-26T00:00:00,6,1
3367,2018,2018-09-26T00:00:00,7,1
3368,2018,2018-09-26T00:00:00,8,1
3369,2018,2018-09-26T00:00:00,9,1
3370,2018,2018-09-26T00:00:00,10,1
3371,2018,2018-09-26T00:00:00,11,1
3372,2018,2018-09-26T00:00:00,12,1
3373,2018,2018-09-26T00:00:00,13,1
3374,2018,2018-09-26T00:00:00,14,1
3375,2018,2018-09-26T00:00:00,15,1
3376,2018,2018-09-26T00:00:00,16,1
3377,2018,2018-09-26T00:00:00,17,1
3378,2018,2018-09-26T00:00:00,18,1
3379,2018,2018-09-26T00:00:00,19,1
3380,2018,2018-09-26T00:00:00,20,1
3381,2018,2018-09-26T00:00:00,21,1
3382,2018,2018-09-26T00:00:00,22,1
3383,2018,2018-09-26T00:00:00,23,1
3384,2018,2018-09-26T00:00:00,24,1
3385,2018,2018-09-26T00:00:00,25,1
3386,2018,2018-09-26T00:00:00,26,1
3387,2018,2018-09-26T00:00:00,27,1
3388,2018,2018-09-26T00:00:00,28,1
3389,2018,2018-09-26T00:00:00,29,1
3390,2018,2018-09-26T00:00:00,30,1
3391,2018,2018-09-26T00:00:00,31,1
3392,2018,2018-09-26T00:00:00,32,1
3393,2018,2018-09-26T00:00:00,33,1
3394,2018,2018-09-26T00:00:00,34,1
3395,2018,2018-09-26T00:00:00,35,1
3396,2018,2018-09-26T00:00:00,36,1
3397,2018,2018-09-26T00:00:00,37,1
3398,2018,2018-09-26T00:00:00,38,1
3399,2018,2018-09-26T00:00:00,39,1
3400,2018,2018-09-26T00:00:00,40,1
3401,2018,2018-09-26T00:00:00,41,1
3402,2018,2018-09-26T00:00:00,42,1
3403,2018,2018-09-26T00:00:00,43,1
3404,2018,2018-09-26T00:00:00,44,1
3405,2018,2018-09-26T00:00:00,45,1
3406,2018,2018-09-26T00:00:00,46,1
3407,2018,2018-09-26T00:00:00,47,1
3408,2018,2018-09-26T00:00:00,48,1
3409,2018,2018-09-26T00:00:00,49,1
3410,2018,2018-09-26T00:00:00,50,1
3411,2018,2018-09-26T00:00:00,51,1
3412,2018,2018-09-26T00:00:00,52,1
3413,2018,2018-09-26T00:00:00,53,1
3414,2018,2018-09-26T00:00:00,54,1
3415,2018,2018-09-26T00:00:00,55,1
3416,2018,2018-09-26T00:00:00,56,1
3417,2018,2018-09-26T00:00:00,57,1
3418,2018,2018-09-26T00:00:00,58,1
3419,2018,2018-09-26T00:00:00,59,1
3420,2018,2018-09-26T00:00:00,60,1
3421,2018,2018-09-26T00:00:00,61,1
3422,2018,2018-09-26T00:00:00,62,1
3423,2018,2018-09-26T00:00:00,63,1
3424,2018,2018-09-26T00:00:00,64,1
3425,2019,2019-08-05T00:00:00,1,2
3426,2019,2019-08-05T00:00:00,2,2
3427,2019,2019-08-05T00:00:00,3,2
3428,2019,2019-08-05T00:00:00,4,2
3429,2019,2019-08-05T00:00:00,5,2
3430,2019,2019-08-05T00:00:00,6,2
3431,2019,2019-08-05T00:00:00,7,2
3432,2019,2019-08-05T00:00:00,8,2
3433,2019,2019-08-05T00:00:00,9,2
3434,2019,2019-08-05T00:00:00,10,2
3435,2019,2019-08-05T00:00:00,11,2
3436,2019,2019-08-05T00:00:00,12,2
3437,2019,2019-08-05T00:00:00,13,2
3438,2019,2019-08-05T00:00:00,14,2
3439,2019,2019-08-05T00:00:00,15,2
3440,2019,2019-08-05T00:00:00,16,2
3441,2019,2019-08-05T00:00:00,17,2
3442,2019,2019-08-05T00:00:00,18,2
3443,2019,2019-08-05T00:00:00,19,2
3444,2019,2019-08-05T00:00:00,20,2
3445,2019,2019-08-05T00:00:00,21,2
3446,2019,2019-08-05T00:00:00,22,2
3447,2019,2019-08-05T00:00:00,23,2
3448,2019,2019-08-05T00:00:00,24,2
3449,2019,2019-08-05T00:00:00,25,2
3450,2019,2019-08-05T00:00:00,26,2
3451,2019,2019-08-05T00:00:00,27,2
3452,2019,2019-08-05T00:00:00,28,2
3453,2019,2019-08-05T00:00:00,29,2
3454,2019,2019-08-05T00:00:00,30,2
3455,2019,2019-08-05T00:00:00,31,2
3456,2019,2019-08-05T00:00:00,32,2
3457,2019,2019-08-05T00:00:00,33,2
3458,2019,2019-08-05T00:00:00,34,2
3459,2019,2019-08-05T00:00:00,35,2
3460,2019,2019-08-05T00:00:00,36,2
3461,2019,2019-08-05T00:00:00,37,2
3462,2019,2019-08-05T00:00:00,38,2
3463,2019,2019-08-05T00:00:00,39,2
3464,2019,2019-08-05T00:00:00,40,2
3465,2019,2019-08-05T00:00:00,41,2
3466,2019,2019-08-05T00:00:00,42,2
3467,2019,2019-08-05T00:00:00,43,2
3468,2019,2019-08-05T00:00:00,44,2
3469,2019,2019-08-05T00:00:00,45,2
