Parzelle_ID,Parzelle,Wiederholung,Pruefglied_ID,Hoehenlage_Min,Hoehenlage_Max,Mittelpunkt_x_GK,Mittelpunkt_y_GK,Beginn,Ende
59,59,2,4,470.5,470.69,4477167.318,5362875.394,1978-04-10T00:00:00,andauernd
60,60,2,11,470.69,470.88,4477166.665,5362879.372,1978-04-10T00:00:00,andauernd
61,61,3,5,470.82,471.08,4477166.011,5362883.364,1978-04-10T00:00:00,andauernd
62,62,3,12,471.04,471.24,4477165.355,5362887.369,1978-04-10T00:00:00,andauernd
63,63,4,6,471.21,471.42,4477164.695,5362891.325,1978-04-10T00:00:00,andauernd
64,64,4,13,471.29,471.67,4477164.01,5362895.335,1978-04-10T00:00:00,andauernd
65,65,5,4,470.67,470.9,4477218.431,5362908.753,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
66,66,5,11,471.04,471.28,4477217.754,5362912.743,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
67,67,6,15,471.27,471.65,4477217.094,5362916.7,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
68,68,6,15,471.59,471.92,4477216.408,5362920.709,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
69,69,5,1,470.73,471.05,4477210.532,5362907.42,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
70,70,5,8,471.09,471.38,4477209.876,5362911.409,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
71,71,6,4,471.35,471.63,4477209.216,5362915.365,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
72,72,6,11,471.7,471.88,4477208.531,5362919.375,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
73,73,5,5,470.94,471.25,4477202.662,5362906.095,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
74,74,5,12,471.24,471.46,4477202.006,5362910.084,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
