Treatment,Nitrogen_Applied_kg_ha,Yield_Simulated_kg_ha,Biomass_Simulated_kg_ha,Harvest_Index_Simulated,Grain_Weight_Simulated_mg,Grain_Number_Simulated,Grain_Nitrogen_Simulated_kg_ha,Yield_Observed_kg_ha,Yield_Observed_Std,Yield_Observed_n,Grain_Weight_Observed_mg,Grain_Weight_Observed_Std,Grain_Nitrogen_Observed_kg_ha,Grain_Nitrogen_Observed_Std,Harvest_Date_Observed,Yield_Difference_kg_ha,Yield_Error_Percent,Grain_Weight_Difference_mg,Grain_Weight_Error_Percent,Grain_Nitrogen_Difference_kg_ha,Grain_Nitrogen_Error_Percent
1,120,6204.0,12193.0,0.509,36.0,17226.0,130.6,6335.75,783.0604622249805,4,39.75,2.0463381929681126,126.75,18.659782956937093,17219,-131.75,-2.0794696760446674,-3.75,-9.433962264150944,3.8499999999999943,3.0374753451676484
2,120,6259.0,12340.0,0.507,35.8,17477.0,133.1,7389.75,830.6691203481685,4,40.75,1.7853571071357126,149.75,17.68297203526602,17219,-1130.75,-15.301600189451605,-4.950000000000003,-12.147239263803689,-16.650000000000006,-11.118530884808017
3,40,3881.0,6575.0,0.59,43.6,8912.0,72.0,7128.5,741.6999056222132,4,40.75,1.0897247358851685,132.75,18.619546181365433,17219,-3247.5,-45.55656870309322,2.8500000000000014,6.993865030674851,-60.75,-45.76271186440678
4,120,6242.0,12302.0,0.507,35.8,17433.0,131.9,8173.5,201.33367825577517,4,41.0,0.7071067811865476,168.0,6.670832032063167,17219,-1931.5,-23.63124732366795,-5.200000000000003,-12.682926829268299,-36.099999999999994,-21.488095238095234
5,120,6774.0,14045.0,0.482,34.0,19940.0,124.8,8499.0,629.3826340152706,4,41.5,0.5,166.25,13.423393758658799,17219,-1725.0,-20.29650547123191,-7.5,-18.072289156626507,-41.45,-24.93233082706767
6,120,6232.0,12271.0,0.508,35.9,17383.0,130.4,6538.75,870.0285555658504,4,39.0,1.0,125.5,19.241881404893856,17219,-306.75,-4.691263620722616,-3.1000000000000014,-7.9487179487179525,4.900000000000006,3.9043824701195264
7,120,6776.0,14005.0,0.484,34.3,19747.0,124.6,8045.5,411.6810051484037,4,41.5,1.118033988749895,164.75,13.5531361684298,17219,-1269.5,-15.779006898266113,-7.200000000000003,-17.349397590361455,-40.150000000000006,-24.370257966616087
8,180,7229.0,15410.0,0.469,33.8,21400.0,169.8,8822.0,372.5701276270012,4,40.25,0.4330127018922193,204.25,11.648497757221744,17219,-1593.0,-18.057129902516436,-6.450000000000003,-16.0248447204969,-34.44999999999999,-16.866585067319456
9,180,7236.0,15444.0,0.469,33.8,21422.0,172.4,9401.5,813.5860433906176,4,41.25,1.299038105676658,216.5,31.028212968200407,17219,-2165.5,-23.033558474711484,-7.450000000000003,-18.06060606060607,-44.099999999999994,-20.369515011547342
10,60,3883.0,6577.0,0.59,43.6,8915.0,72.0,8909.25,686.7104102167084,4,40.75,0.4330127018922193,199.25,22.92787604642,17219,-5026.25,-56.41608440665601,2.8500000000000014,6.993865030674851,-127.25,-63.86449184441656
11,180,7229.0,15410.0,0.469,33.8,21400.0,169.8,9877.0,52.730446612938906,4,39.25,1.479019945774904,239.5,4.6097722286464435,17219,-2648.0,-26.809760048597752,-5.450000000000003,-13.885350318471346,-69.69999999999999,-29.102296450939452
12,180,7229.0,15413.0,0.469,33.8,21400.0,171.1,9744.5,541.3337694990032,4,41.0,1.224744871391589,229.25,28.083580612165537,17219,-2515.5,-25.8145620606496,-7.200000000000003,-17.560975609756106,-58.150000000000006,-25.365321701199566
13,180,7191.0,15355.0,0.468,33.7,21368.0,169.2,8274.75,796.0177055191674,4,39.25,0.4330127018922193,182.0,27.367864366808018,17219,-1083.75,-13.097072419106318,-5.549999999999997,-14.140127388535026,-12.800000000000011,-7.03296703296704
14,180,6831.0,14151.0,0.483,34.0,20062.0,171.5,9467.5,150.46012760861265,4,40.75,1.0897247358851685,225.5,6.103277807866851,17219,-2636.5,-27.847900712965405,-6.75,-16.56441717791411,-54.0,-23.946784922394677
15,0,3169.0,5859.0,0.541,36.1,8789.0,50.0,2552.625,527.0827585635865,8,36.25,0.82915619758885,43.0,9.096702699330127,17219,616.375,24.14671171832917,-0.14999999999999858,-0.41379310344827197,7.0,16.27906976744186
