Variable,RMSE,MAE,R2,ModelEfficiency,Bias,n
Yield,2229.94304789943,1868.5083333333334,-0.5472796912481814,-0.5472796912481814,-1786.325,15
GrainWeight,5.505058280042699,5.0933333333333355,-16.467243035542758,-16.467243035542758,-4.333333333333335,15
GrainNitrogen,51.20708284342444,40.75333333333333,-0.04764434721462618,-0.04764434721462618,-38.65333333333333,15
