*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  FEB 02, 2026 11:47:14
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TUDU1701.WHX         1 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309815.78        0.00     1464.68        0.00      0.00      0.00      0.00   2825.11      0.00      0.00      0.00     -0.0111
   2 TUDU1701.WHX         2 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309815.47        0.00     1479.88        0.00      0.00      0.00      0.00   2810.25      0.00      0.00      0.00     -0.0056
   3 TUDU1701.WHX         3 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309696.47        0.00     1341.95        0.00      0.00      0.00      0.00   3067.21      0.00      0.00      0.00      0.0222
   4 TUDU1701.WHX         4 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309815.59        0.00     1477.27        0.00      0.00      0.00      0.00   2812.75      0.00      0.00      0.00     -0.0044
   5 TUDU1701.WHX         5 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309833.62        0.00     1521.05        0.00      0.00      0.00      0.00   2750.91      0.00      0.00      0.00      0.0075
   6 TUDU1701.WHX         6 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309814.75        0.00     1481.07        0.00      0.00      0.00      0.00   2809.75      0.00      0.00      0.00     -0.0302
   7 TUDU1701.WHX         7 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309825.28        0.00     1547.27        0.00      0.00      0.00      0.00   2733.07      0.00      0.00      0.00      0.0415
   8 TUDU1701.WHX         8 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309838.47        0.00     1541.16        0.00      0.00      0.00      0.00   2725.97      0.00      0.00      0.00      0.0031
   9 TUDU1701.WHX         9 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309840.00        0.00     1534.94        0.00      0.00      0.00      0.00   2730.70      0.00      0.00      0.00      0.0427
  10 TUDU1701.WHX        10 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309697.75        0.00     1335.94        0.00      0.00      0.00      0.00   3071.92      0.00      0.00      0.00      0.0128
  11 TUDU1701.WHX        11 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309838.47        0.00     1541.15        0.00      0.00      0.00      0.00   2725.97      0.00      0.00      0.00      0.0033
  12 TUDU1701.WHX        12 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309839.00        0.00     1538.74        0.00      0.00      0.00      0.00   2727.87      0.00      0.00      0.00      0.0275
  13 TUDU1701.WHX        13 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309841.75        0.00     1534.06        0.00      0.00      0.00      0.00   2729.81      0.00      0.00      0.00      0.0295
  14 TUDU1701.WHX        14 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309850.53        0.00     1446.24        0.00      0.00      0.00      0.00   2808.92      0.00      0.00      0.00      0.1053
  15 TUDU1701.WHX        15 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309648.22        0.00     1498.19        0.00      0.00      0.00      0.00   2959.23      0.00      0.00      0.00      0.0423
