Probenahme_Pflanzen_ID,Versuchsjahr,Termin,Parzelle_ID
3300,2017,2017-08-07T00:00:00,4
3301,2017,2017-08-07T00:00:00,5
3302,2017,2017-08-07T00:00:00,6
3303,2017,2017-08-07T00:00:00,7
3304,2017,2017-08-07T00:00:00,8
3305,2017,2017-08-07T00:00:00,9
3306,2017,2017-08-07T00:00:00,10
3307,2017,2017-08-07T00:00:00,11
3308,2017,2017-08-07T00:00:00,12
3309,2017,2017-08-07T00:00:00,13
3310,2017,2017-08-07T00:00:00,14
3311,2017,2017-08-07T00:00:00,15
3312,2017,2017-08-07T00:00:00,16
3313,2017,2017-08-07T00:00:00,17
3314,2017,2017-08-07T00:00:00,18
3315,2017,2017-08-07T00:00:00,19
3316,2017,2017-08-07T00:00:00,20
3317,2017,2017-08-07T00:00:00,21
3318,2017,2017-08-07T00:00:00,22
3319,2017,2017-08-07T00:00:00,23
3320,2017,2017-08-07T00:00:00,24
3321,2017,2017-08-07T00:00:00,25
3322,2017,2017-08-07T00:00:00,26
3323,2017,2017-08-07T00:00:00,27
3324,2017,2017-08-07T00:00:00,28
3325,2017,2017-08-07T00:00:00,29
3326,2017,2017-08-07T00:00:00,30
3327,2017,2017-08-07T00:00:00,31
3328,2017,2017-08-07T00:00:00,32
3329,2017,2017-08-07T00:00:00,33
3330,2017,2017-08-07T00:00:00,34
3331,2017,2017-08-07T00:00:00,35
3332,2017,2017-08-07T00:00:00,36
3333,2017,2017-08-07T00:00:00,37
3334,2017,2017-08-07T00:00:00,38
3335,2017,2017-08-07T00:00:00,39
3336,2017,2017-08-07T00:00:00,40
3337,2017,2017-08-07T00:00:00,41
3338,2017,2017-08-07T00:00:00,42
3339,2017,2017-08-07T00:00:00,43
3340,2017,2017-08-07T00:00:00,44
3341,2017,2017-08-07T00:00:00,45
3342,2017,2017-08-07T00:00:00,46
3343,2017,2017-08-07T00:00:00,47
3344,2017,2017-08-07T00:00:00,48
3345,2017,2017-08-07T00:00:00,49
