Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Hp_Trockenmasse,TS,N,P,K,Ca,Mg,C,TKG,Oel,Protein,Glukosinolate,Staerke,Koerner_kleiner_2_2,Koerner_von_2_2_bis_2_5,Koerner_von_2_5_bis_2_8,Koerner_groesser_2_8,N_Proz_Restpflanze_ohne_Korn
3232,3232,62.56,94.9,2.3,,,,,,42.82,,,,,0.98,8.54,29.4,61.09,
3233,3233,16.55,78.32,1.16,,,,,,,,,,,,,,,0.78
3234,3234,20.15,75.26,1.61,,,,,,,,,,,,,,,1.08
3235,3235,74.34,74.96,1.68,,,,,,,,,,,,,,,0.85
3236,3236,94.65,75.21,1.46,,,,,,,,,,,,,,,1.07
3237,3237,93.29,75.8,1.65,,,,,,,,,,,,,,,1.05
3238,3238,101.07,75.45,1.55,,,,,,,,,,,,,,,1.26
3239,3239,79.36,75.12,1.66,,,,,,,,,,,,,,,1.01
3240,3240,99.93,77.07,1.49,,,,,,,,,,,,,,,0.91
3241,3241,117.83,76.19,1.76,,,,,,,,,,,,,,,0.98
3242,3242,84.89,76.85,1.56,,,,,,,,,,,,,,,0.93
3243,3243,64.89,78.02,1.67,,,,,,,,,,,,,,,1.03
3244,3244,55.44,78.17,1.5,,,,,,,,,,,,,,,1.23
3245,3245,70.59,78.22,1.64,,,,,,,,,,,,,,,1.23
3246,3246,91.71,77.49,1.61,,,,,,,,,,,,,,,1.18
3247,3247,91.02,76.83,1.64,,,,,,,,,,,,,,,1.3
3248,3248,91.61,77,1.44,,,,,,,,,,,,,,,1.38
3249,3249,102.36,76.88,1.69,,,,,,,,,,,,,,,1.21
3250,3250,97.91,76.46,1.47,,,,,,,,,,,,,,,1.32
3251,3251,101.93,76.65,1.62,,,,,,,,,,,,,,,1.36
3252,3252,103.51,77.93,1.65,,,,,,,,,,,,,,,1.32
3253,3253,94.79,79.2,1.61,,,,,,,,,,,,,,,1.43
3254,3254,101.24,79,1.66,,,,,,,,,,,,,,,1.34
3255,3255,26.5,78.54,1.48,,,,,,,,,,,,,,,1.28
3256,3256,34.35,77.35,1.55,,,,,,,,,,,,,,,1.21
3257,3257,98.16,76.26,1.73,,,,,,,,,,,,,,,1.17
3258,3258,68.92,76.31,1.55,,,,,,,,,,,,,,,1.25
3259,3259,78.3,77.58,1.54,,,,,,,,,,,,,,,1.14
3260,3260,91.4,78.1,1.59,,,,,,,,,,,,,,,1.07
3261,3261,92.58,79.18,1.58,,,,,,,,,,,,,,,1.13
3262,3262,100.53,78.88,1.74,,,,,,,,,,,,,,,1.29
3263,3263,84.97,78.12,1.41,,,,,,,,,,,,,,,1.2
3264,3264,96.86,77.76,1.63,,,,,,,,,,,,,,,1.1
3265,3265,107.29,76.13,1.72,,,,,,,,,,,,,,,1.27
3266,3266,91.18,76.21,1.6,,,,,,,,,,,,,,,1.32
3267,3267,93.62,76.38,1.56,,,,,,,,,,,,,,,1.44
3268,3268,103.22,77.47,1.64,,,,,,,,,,,,,,,1.28
3269,3269,40.36,78.71,1.57,,,,,,,,,,,,,,,1.3
3270,3270,32.11,78.06,1.74,,,,,,,,,,,,,,,0.95
3271,3271,85.04,77.31,1.43,,,,,,,,,,,,,,,1.07
3272,3272,102.32,76.65,1.59,,,,,,,,,,,,,,,1.21
3273,3273,89.38,75.81,1.68,,,,,,,,,,,,,,,1.08
3274,3274,88.09,75.47,1.6,,,,,,,,,,,,,,,1.3
3275,3275,92.07,76.4,1.61,,,,,,,,,,,,,,,1.37
3276,3276,95.56,77.25,1.72,,,,,,,,,,,,,,,1.42
3277,3277,87.68,77.12,1.61,,,,,,,,,,,,,,,1.28
3278,3278,97.54,77.67,1.73,,,,,,,,,,,,,,,1.23
3279,3279,79.69,76.66,1.47,,,,,,,,,,,,,,,1.34
3280,3280,81.47,76.05,1.53,,,,,,,,,,,,,,,1.4
3281,3281,95,75.89,1.72,,,,,,,,,,,,,,,1.38
3282,3282,96.77,76,1.69,,,,,,,,,,,,,,,1.05
3283,3283,36.08,75.66,1.54,,,,,,,,,,,,,,,1.25
3284,3284,37.18,76.39,1.7,,,,,,,,,,,,,,,1.04
3285,3285,92.34,76.72,1.6,,,,,,,,,,,,,,,1.14
3286,3286,93.98,76.84,1.69,,,,,,,,,,,,,,,1.64
3287,3287,86.06,76.53,1.51,,,,,,,,,,,,,,,1.21
3288,3288,95.09,76.5,1.57,,,,,,,,,,,,,,,1.26
3289,3289,107.76,76.17,1.66,,,,,,,,,,,,,,,1.19
3290,3290,100.94,76.26,1.74,,,,,,,,,,,,,,,1.61
3291,3291,87.66,77.17,1.54,,,,,,,,,,,,,,,1.39
3292,3292,101.24,77.03,1.72,,,,,,,,,,,,,,,1.31
3293,3293,92.74,76.08,1.46,,,,,,,,,,,,,,,1.53
3294,3294,88.86,75.53,1.6,,,,,,,,,,,,,,,1.48
3295,3295,60.24,75.39,1.54,,,,,,,,,,,,,,,1.18
3296,3296,73.51,75.92,1.63,,,,,,,,,,,,,,,1.74
3297,3297,26.17,82.9,1.74,,,,,,37.4,,,,,,,,,
3298,3298,22.36,82.7,1.69,,,,,,35.9,,,,,,,,,
3299,3299,54.23,83.1,1.82,,,,,,37.9,,,,,,,,,
3300,3300,83.81,86.8,2.23,,,,,,39.6,,,,,,,,,
3301,3301,72.19,86.3,1.96,,,,,,38.5,,,,,,,,,
3302,3302,90.02,87.1,2.2,,,,,,40.1,,,,,,,,,
3303,3303,58.7,86.2,1.78,,,,,,39.4,,,,,,,,,
3304,3304,77.21,87,2.1,,,,,,39.7,,,,,,,,,
3305,3305,84.43,83.6,2.01,,,,,,41.2,,,,,,,,,
3306,3306,99.54,85,2.34,,,,,,40.5,,,,,,,,,
3307,3307,92.38,86.3,1.95,,,,,,41.7,,,,,,,,,
3308,3308,103.78,86.9,2.58,,,,,,39,,,,,,,,,
3309,3309,70.88,86.8,1.74,,,,,,37.6,,,,,,,,,
3310,3310,84.41,87.3,2.26,,,,,,38.8,,,,,,,,,
3311,3311,74.62,86.9,1.92,,,,,,39.5,,,,,,,,,
3312,3312,93.65,87.3,2.41,,,,,,40.6,,,,,,,,,
3313,3313,75.85,84.7,1.96,,,,,,43.2,,,,,,,,,
3314,3314,93.75,85.1,2.33,,,,,,39.9,,,,,,,,,
3315,3315,80.52,85.4,2.06,,,,,,43.4,,,,,,,,,
3316,3316,100.58,86.9,2.37,,,,,,40,,,,,,,,,
3317,3317,77.02,86.6,1.78,,,,,,41.1,,,,,,,,,
3318,3318,93.04,87,2.17,,,,,,40.7,,,,,,,,,
3319,3319,25.76,85.7,1.71,,,,,,37,,,,,,,,,
3320,3320,35.81,83,1.69,,,,,,37.4,,,,,,,,,
3321,3321,90.05,84.8,1.99,,,,,,41.6,,,,,,,,,
3322,3322,101.71,84.4,2.4,,,,,,41.9,,,,,,,,,
3323,3323,69.34,85.7,2.05,,,,,,39.6,,,,,,,,,
3324,3324,89.61,87.1,2.11,,,,,,39.7,,,,,,,,,
3325,3325,82.29,86.8,2.11,,,,,,41.1,,,,,,,,,
3326,3326,96.93,86.8,2.4,,,,,,41.8,,,,,,,,,
3327,3327,81.7,86.4,2.08,,,,,,40.8,,,,,,,,,
3328,3328,98.13,86.3,2.44,,,,,,39.3,,,,,,,,,
3329,3329,81.86,85.2,2.04,,,,,,41.1,,,,,,,,,
3330,3330,102.79,84.5,2.47,,,,,,42.7,,,,,,,,,
3331,3331,73.08,86,1.84,,,,,,41.2,,,,,,,,,
3332,3332,93.49,86.5,2.24,,,,,,41.3,,,,,,,,,
3333,3333,27.23,86.4,1.66,,,,,,36,,,,,,,,,
3334,3334,27.28,85.9,1.62,,,,,,37,,,,,,,,,
3335,3335,62.02,86.4,2.21,,,,,,38.1,,,,,,,,,
3336,3336,89.22,86.6,2.36,,,,,,41.1,,,,,,,,,
3337,3337,70.97,84.8,2,,,,,,40.2,,,,,,,,,
3338,3338,87.63,85.1,2.41,,,,,,39.2,,,,,,,,,
3339,3339,79.11,84.8,2.07,,,,,,42.4,,,,,,,,,
3340,3340,95.1,85.7,2.39,,,,,,39,,,,,,,,,
3341,3341,82.05,86.9,2.13,,,,,,40.5,,,,,,,,,
3342,3342,98.48,86.9,2.5,,,,,,40.7,,,,,,,,,
3343,3343,78.16,86.5,2,,,,,,41,,,,,,,,,
3344,3344,90.98,86.6,2.21,,,,,,41.8,,,,,,,,,
3345,3345,76.34,84,2.05,,,,,,41.7,,,,,,,,,
3346,3346,92.63,83.3,2.42,,,,,,40.9,,,,,,,,,
3347,3347,15.65,83,1.69,,,,,,34.8,,,,,,,,,
3348,3348,23.95,84.9,1.66,,,,,,35,,,,,,,,,
3349,3349,61.33,87.1,1.99,,,,,,39.9,,,,,,,,,
3350,3350,86.1,87,2.33,,,,,,39.7,,,,,,,,,
3351,3351,61.02,86.2,2.05,,,,,,41.1,,,,,,,,,
3352,3352,82.67,86.6,2.13,,,,,,41.8,,,,,,,,,
3353,3353,85.8,85.2,2.07,,,,,,42.8,,,,,,,,,
3354,3354,93.02,80.7,2.32,,,,,,40.8,,,,,,,,,
3355,3355,78.76,84.6,1.99,,,,,,42.3,,,,,,,,,
