Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Hp_Trockenmasse,TS,N,P,K,Ca,Mg,C,TKG,Oel,Protein,Glukosinolate,Staerke,Koerner_kleiner_2_2,Koerner_von_2_2_bis_2_5,Koerner_von_2_5_bis_2_8,Koerner_groesser_2_8,N_Proz_Restpflanze_ohne_Korn
3500,3500,51.61,88.35,2.08,,,,,,,,,,,,,,,
3501,3501,41.3,88.46,2.03,,,,,,,,,,,,,,,
3502,3502,48.26,88.3,2.08,,,,,,,,,,,,,,,
3503,3503,45.32,88.49,1.91,,,,,,,,,,,,,,,
3504,3504,45.58,88.08,2.19,,,,,,,,,,,,,,,
3505,3505,48.6,88.05,2.16,,,,,,,,,,,,,,,
3506,3506,50.7,88.42,2.13,,,,,,,,,,,,,,,
3507,3507,48.42,88.42,2.11,,,,,,,,,,,,,,,
3508,3508,50.18,88.5,2.14,,,,,,,,,,,,,,,
3509,3509,45.44,88.18,1.97,,,,,,,,,,,,,,,
3510,3510,41.98,88.29,1.91,,,,,,,,,,,,,,,
3511,3511,33.76,88.38,1.86,,,,,,,,,,,,,,,
3512,3512,38.79,88.6,2.05,,,,,,,,,,,,,,,
3513,3513,46.77,88.18,2.09,,,,,,,,,,,,,,,
3514,3514,52.34,88.29,2.11,,,,,,,,,,,,,,,
3515,3515,45.57,88.43,2.07,,,,,,,,,,,,,,,
3516,3516,47.04,88.32,2.14,,,,,,,,,,,,,,,
3517,3517,45.15,88.35,2.06,,,,,,,,,,,,,,,
3518,3518,45.21,88.29,2.07,,,,,,,,,,,,,,,
3519,3519,39.37,88.6,1.94,,,,,,,,,,,,,,,
3520,3520,43.33,88.31,1.98,,,,,,,,,,,,,,,
3521,3521,44.53,88.25,2.14,,,,,,,,,,,,,,,
3522,3522,44.79,88.57,2.15,,,,,,,,,,,,,,,
3523,3523,43.82,88.17,2.09,,,,,,,,,,,,,,,
3524,3524,45.48,88.07,2.03,,,,,,,,,,,,,,,
3525,3525,38.92,88.67,2,,,,,,,,,,,,,,,
3526,3526,35.08,88.6,1.97,,,,,,,,,,,,,,,
3527,3527,38.86,88.09,1.98,,,,,,,,,,,,,,,
3528,3528,44.23,88.23,2.07,,,,,,,,,,,,,,,
3529,3529,41.69,88.47,2.04,,,,,,,,,,,,,,,
3530,3530,46.86,88.53,2.19,,,,,,,,,,,,,,,
3531,3531,46.64,88.66,1.97,,,,,,,,,,,,,,,
3532,3532,48.66,87.99,2.03,,,,,,,,,,,,,,,
3533,3533,44.58,88.54,1.96,,,,,,,,,,,,,,,
3534,3534,46.44,88.45,1.93,,,,,,,,,,,,,,,
3535,3535,42.58,88.73,1.9,,,,,,,,,,,,,,,
3536,3536,38.39,87.89,1.89,,,,,,,,,,,,,,,
3537,3537,40.04,88.4,2.07,,,,,,,,,,,,,,,
3538,3538,43.15,88.35,2.04,,,,,,,,,,,,,,,
3539,3539,35.05,88.29,1.93,,,,,,,,,,,,,,,
3540,3540,38.05,88.64,1.96,,,,,,,,,,,,,,,
3541,3541,39.87,88.45,1.93,,,,,,,,,,,,,,,
3542,3542,43.45,88.38,2.01,,,,,,,,,,,,,,,
3543,3543,34.12,88.35,1.89,,,,,,,,,,,,,,,
3544,3544,38.5,88.58,1.89,,,,,,,,,,,,,,,
3545,3545,36.92,88.67,2.06,,,,,,,,,,,,,,,
3546,3546,39.09,88.61,2.15,,,,,,,,,,,,,,,
3547,3547,36.54,88.45,1.93,,,,,,,,,,,,,,,
3548,3548,40.67,88.32,2.08,,,,,,,,,,,,,,,
3549,3549,38.83,88.67,2.03,,,,,,,,,,,,,,,
3550,3550,39.3,88.46,1.96,,,,,,,,,,,,,,,
3551,3551,27.59,88.44,1.8,,,,,,,,,,,,,,,
3552,3552,26.54,88.1,2.01,,,,,,,,,,,,,,,
3553,3553,36.94,87.48,1.23,,,,,,40.2,,,,,,,,,
3554,3554,38.23,87.52,1.4,,,,,,42.6,,,,,,,,,
3555,3555,81.57,86.51,1.68,,,,,,42.6,,,,,,,,,
3556,3556,76.84,88.17,2.08,,,,,,44.1,,,,,,,,,
3557,3557,70.75,87.98,1.93,,,,,,38,,,,,,,,,
3558,3558,81.3,88.49,2.44,,,,,,38.7,,,,,,,,,
3559,3559,74.21,87.2,1.76,,,,,,41,,,,,,,,,
3560,3560,78.47,87.87,1.98,,,,,,41.7,,,,,,,,,
3561,3561,87.47,87.65,1.78,,,,,,41.9,,,,,,,,,
3562,3562,86.8,88.42,2.39,,,,,,40.1,,,,,,,,,
3563,3563,56.65,87.91,1.95,,,,,,41.3,,,,,,,,,
3564,3564,56.42,110.4,2.48,,,,,,39.8,,,,,,,,,
3565,3565,54.89,88.04,1.75,,,,,,43.8,,,,,,,,,
3566,3566,73.05,87.72,2.02,,,,,,44.7,,,,,,,,,
3567,3567,83.47,95.03,1.8,,,,,,42.7,,,,,,,,,
3568,3568,82.83,87.89,2.43,,,,,,39.2,,,,,,,,,
3569,3569,73.4,87.42,1.89,,,,,,44,,,,,,,,,
3570,3570,73.59,88.15,2.17,,,,,,42.8,,,,,,,,,
3571,3571,78.48,88.05,2.05,,,,,,41.5,,,,,,,,,
3572,3572,114.04,138.02,2.49,,,,,,39.4,,,,,,,,,
3573,3573,69.08,87.83,1.65,,,,,,43.4,,,,,,,,,
3574,3574,76.98,87.41,2.13,,,,,,39.6,,,,,,,,,
3575,3575,26.71,96.03,1.27,,,,,,44.4,,,,,,,,,
3576,3576,25.89,87.2,1.26,,,,,,41.7,,,,,,,,,
3577,3577,64.01,87.89,1.96,,,,,,41.4,,,,,,,,,
3578,3578,64.42,87.99,2.2,,,,,,42.3,,,,,,,,,
3579,3579,65.91,91.17,1.66,,,,,,45.1,,,,,,,,,
3580,3580,58.59,88.34,2.15,,,,,,42.2,,,,,,,,,
3581,3581,74.46,87.55,1.86,,,,,,41.7,,,,,,,,,
3582,3582,83.87,87.06,2.35,,,,,,38.3,,,,,,,,,
3583,3583,67.98,86.98,1.82,,,,,,42.8,,,,,,,,,
3584,3584,74.5,87.98,2.37,,,,,,40.2,,,,,,,,,
3585,3585,78.26,87.69,1.99,,,,,,39.1,,,,,,,,,
3586,3586,82.65,88.56,2.53,,,,,,41.8,,,,,,,,,
3587,3587,73.32,88.73,1.65,,,,,,43.33,,,,,,,,,
3588,3588,73.8,87.95,2.1,,,,,,42.6,,,,,,,,,
3589,3589,27.23,89.43,1.21,,,,,,41.2,,,,,,,,,
3590,3590,37.58,85,1.34,,,,,,42.7,,,,,,,,,
3591,3591,55.86,86.46,1.8,,,,,,44.2,,,,,,,,,
3592,3592,60.03,87.39,2.2,,,,,,44,,,,,,,,,
3593,3593,68.68,88.48,1.66,,,,,,42.4,,,,,,,,,
3594,3594,74.22,88,2.13,,,,,,42.6,,,,,,,,,
3595,3595,78.91,88.27,1.95,,,,,,42.5,,,,,,,,,
3596,3596,76.7,87.75,2.38,,,,,,40.5,,,,,,,,,
3597,3597,82.48,99.7,1.88,,,,,,43.2,,,,,,,,,
3598,3598,81.04,87.64,2.25,,,,,,40,,,,,,,,,
3599,3599,49.31,86.65,1.96,,,,,,41.3,,,,,,,,,
3600,3600,49.52,87.59,2.11,,,,,,41,,,,,,,,,
3601,3601,74.14,88.13,1.71,,,,,,43.4,,,,,,,,,
3602,3602,80.63,88.27,1.94,,,,,,39.6,,,,,,,,,
3603,3603,21.36,87.48,1.31,,,,,,42.77,,,,,,,,,
3604,3604,23.73,85.65,1.29,,,,,,40,,,,,,,,,
3605,3605,50.91,87.06,1.87,,,,,,42.2,,,,,,,,,
3606,3606,62.33,87.38,2.22,,,,,,42.4,,,,,,,,,
3607,3607,62.47,86.99,1.88,,,,,,43.3,,,,,,,,,
3608,3608,66.07,87.48,2.29,,,,,,44.1,,,,,,,,,
3609,3609,82.11,87.72,1.82,,,,,,40.9,,,,,,,,,
3610,3610,93.33,87.27,2.25,,,,,,,,,,,,,,,
3611,3611,74.32,87.38,1.86,,,,,,43,,,,,,,,,
3612,3612,84.27,87.08,2.23,,,,,,40,,,,,,,,,
3613,3613,55.16,86.54,2.05,,,,,,43,,,,,,,,,
3614,3614,59.07,86.88,2.13,,,,,,39.3,,,,,,,,,
3615,3615,30.14,57.81,1.64,,,,,,42.2,,,,,,,,,
3616,3616,54.46,86.98,1.91,,,,,,40.4,,,,,,,,,
3617,3617,54.25,93.89,0,,,,,,,,,,,,,,,
3618,3618,52.04,93.2,0,,,,,,,,,,,,,,,
3619,3619,71.56,94.14,0,,,,,,,,,,,,,,,
3620,3620,84.97,93.58,0,,,,,,,,,,,,,,,
3621,3621,73.94,94.6,0,,,,,,,,,,,,,,,
3622,3622,89.61,93.64,0,,,,,,,,,,,,,,,
3623,3623,77.85,94.34,0,,,,,,,,,,,,,,,
3624,3624,84.2,93.28,0,,,,,,,,,,,,,,,
3625,3625,76.1,94.44,0,,,,,,,,,,,,,,,
3626,3626,88.83,93.62,0,,,,,,,,,,,,,,,
3627,3627,72.56,94,0,,,,,,,,,,,,,,,
3628,3628,84.43,92.93,0,,,,,,,,,,,,,,,
3629,3629,76.72,93.4,0,,,,,,,,,,,,,,,
3630,3630,67.01,93.59,0,,,,,,,,,,,,,,,
3631,3631,70.62,92.98,0,,,,,,,,,,,,,,,
3632,3632,82.85,94.43,0,,,,,,,,,,,,,,,
3633,3633,79.09,94.01,0,,,,,,,,,,,,,,,
3634,3634,81.75,94.16,0,,,,,,,,,,,,,,,
3635,3635,71.69,93.59,0,,,,,,,,,,,,,,,
3636,3636,85.44,93.71,0,,,,,,,,,,,,,,,
3637,3637,72.44,94.24,0,,,,,,,,,,,,,,,
3638,3638,84.15,94.47,0,,,,,,,,,,,,,,,
3639,3639,41.76,93.76,0,,,,,,,,,,,,,,,
3640,3640,46.33,93.02,0,,,,,,,,,,,,,,,
3641,3641,79.52,94.15,0,,,,,,,,,,,,,,,
3642,3642,86.72,92.91,0,,,,,,,,,,,,,,,
3643,3643,77.3,93.74,0,,,,,,,,,,,,,,,
3644,3644,90.98,93.55,0,,,,,,,,,,,,,,,
3645,3645,70.58,93.39,0,,,,,,,,,,,,,,,
3646,3646,87.8,94.02,0,,,,,,,,,,,,,,,
3647,3647,70.33,92.93,0,,,,,,,,,,,,,,,
3648,3648,87.44,94.4,0,,,,,,,,,,,,,,,
3649,3649,77.44,91.17,0,,,,,,,,,,,,,,,
3650,3650,89.12,93.18,0,,,,,,,,,,,,,,,
3651,3651,73.69,95.06,0,,,,,,,,,,,,,,,
3652,3652,76.73,91.15,0,,,,,,,,,,,,,,,
3653,3653,44.42,99.36,0,,,,,,,,,,,,,,,
3654,3654,40.08,90.31,0,,,,,,,,,,,,,,,
3655,3655,61.75,89.26,0,,,,,,,,,,,,,,,
3656,3656,78.08,95.24,0,,,,,,,,,,,,,,,
3657,3657,79.51,100.21,0,,,,,,,,,,,,,,,
3658,3658,84.83,90.06,0,,,,,,,,,,,,,,,
3659,3659,74.06,92.77,0,,,,,,,,,,,,,,,
3660,3660,92.65,95.9,0,,,,,,,,,,,,,,,
3661,3661,72.91,93.67,0,,,,,,,,,,,,,,,
3662,3662,82.71,93.08,0,,,,,,,,,,,,,,,
3663,3663,76.6,94.06,0,,,,,,,,,,,,,,,
3664,3664,84.3,96.44,0,,,,,,,,,,,,,,,
3665,3665,72.99,97.61,0,,,,,,,,,,,,,,,
3666,3666,82.49,85.91,0,,,,,,,,,,,,,,,
3667,3667,41.51,97.32,0,,,,,,,,,,,,,,,
3668,3668,40.59,92.46,0,,,,,,,,,,,,,,,
3669,3669,75.42,94.09,0,,,,,,,,,,,,,,,
3670,3670,75.29,93.69,0,,,,,,,,,,,,,,,
3671,3671,63.89,93.52,0,,,,,,,,,,,,,,,
3672,3672,79.19,94.07,0,,,,,,,,,,,,,,,
3673,3673,80.88,93.51,0,,,,,,,,,,,,,,,
3674,3674,89.13,96.22,0,,,,,,,,,,,,,,,
3675,3675,65.61,86.32,0,,,,,,,,,,,,,,,
3676,3676,85.93,94.52,0,,,,,,,,,,,,,,,
3677,3677,77.9,91.14,0,,,,,,,,,,,,,,,
3678,3678,86.34,101.71,0,,,,,,,,,,,,,,,
3679,3679,66.14,91.21,0,,,,,,,,,,,,,,,
3680,3680,73.16,93.28,0,,,,,,,,,,,,,,,
