Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Bodenbearbeitung_Massnahme_ID
4408,2016,2016-05-04T00:00:00,56,13
4409,2016,2016-05-04T00:00:00,57,13
4410,2016,2016-05-04T00:00:00,58,13
4411,2016,2016-05-04T00:00:00,59,13
4412,2016,2016-05-04T00:00:00,60,13
4413,2016,2016-05-04T00:00:00,61,13
4414,2016,2016-05-04T00:00:00,62,13
4415,2016,2016-05-04T00:00:00,63,13
4416,2016,2016-05-04T00:00:00,64,13
4417,2017,2016-10-19T00:00:00,1,1
4418,2017,2016-10-19T00:00:00,2,1
4419,2017,2016-10-19T00:00:00,3,1
4420,2017,2016-10-19T00:00:00,4,1
4421,2017,2016-10-19T00:00:00,5,1
4422,2017,2016-10-19T00:00:00,6,1
4423,2017,2016-10-19T00:00:00,7,1
4424,2017,2016-10-19T00:00:00,8,1
4425,2017,2016-10-19T00:00:00,9,1
4426,2017,2016-10-19T00:00:00,10,1
4427,2017,2016-10-19T00:00:00,11,1
4428,2017,2016-10-19T00:00:00,12,1
4429,2017,2016-10-19T00:00:00,13,1
4430,2017,2016-10-19T00:00:00,14,1
4431,2017,2016-10-19T00:00:00,15,1
4432,2017,2016-10-19T00:00:00,16,1
4433,2017,2016-10-19T00:00:00,17,1
4434,2017,2016-10-19T00:00:00,18,1
4435,2017,2016-10-19T00:00:00,19,1
4436,2017,2016-10-19T00:00:00,20,1
4437,2017,2016-10-19T00:00:00,21,1
4438,2017,2016-10-19T00:00:00,22,1
4439,2017,2016-10-19T00:00:00,23,1
4440,2017,2016-10-19T00:00:00,24,1
4441,2017,2016-10-19T00:00:00,25,1
4442,2017,2016-10-19T00:00:00,26,1
4443,2017,2016-10-19T00:00:00,27,1
4444,2017,2016-10-19T00:00:00,28,1
4445,2017,2016-10-19T00:00:00,29,1
4446,2017,2016-10-19T00:00:00,30,1
4447,2017,2016-10-19T00:00:00,31,1
4448,2017,2016-10-19T00:00:00,32,1
4449,2017,2016-10-19T00:00:00,33,1
4450,2017,2016-10-19T00:00:00,34,1
4451,2017,2016-10-19T00:00:00,35,1
4452,2017,2016-10-19T00:00:00,36,1
4453,2017,2016-10-19T00:00:00,37,1
4454,2017,2016-10-19T00:00:00,38,1
4455,2017,2016-10-19T00:00:00,39,1
4456,2017,2016-10-19T00:00:00,40,1
4457,2017,2016-10-19T00:00:00,41,1
4458,2017,2016-10-19T00:00:00,42,1
4459,2017,2016-10-19T00:00:00,43,1
4460,2017,2016-10-19T00:00:00,44,1
4461,2017,2016-10-19T00:00:00,45,1
4462,2017,2016-10-19T00:00:00,46,1
4463,2017,2016-10-19T00:00:00,47,1
