"experiment_ID","experiment_year","fertilizer_level","fertilization_date","fertilizer_material","fertilizer_total_amount","N_in_applied_fertilizer","phosphorus_applied_fert","fertilizer_K_applied","Mg_in_applied_fertilizer","Ca_in_applied_fertilizer","S_in_applied_fertilizer","B_in_applied_fertilizer","Zn_in_applied_fertilizer","Mn_in_applied_fertilizer","Fe_in_applied_fertilizer","fertilizer_applic_method"
"LTFE_Duernast","2016",5,"2016-06-02","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2016",6,"2016-05-19","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2016",6,"2016-06-02","FE011",444.4,120,0,0,0,38.1095,0,0,0,0,0,NA
"LTFE_Duernast","2016",7,"2016-05-19","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2016",7,"2016-06-02","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2016",8,"2016-05-19","FE011",444.4,120,0,0,0,38.1095,0,0,0,0,0,NA
"LTFE_Duernast","2016",8,"2016-06-02","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2016",9,"2016-05-19","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2016",9,"2016-06-02","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2016",10,"2016-05-19","FE050",500,100,0,0,0,196.625,0,0,0,0,0,NA
"LTFE_Duernast","2016",10,"2016-06-02","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2016",11,"2016-05-19","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2016",11,"2016-06-02","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2016",12,"2016-05-19","FE060",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2016",12,"2016-06-02","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA
"LTFE_Duernast","2016",13,"2016-05-19","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2016",13,"2016-06-02","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",14,"2016-05-19","FE900",692.3,180,0,0,0,0,90,0,0,0,0,NA
"LTFE_Duernast","2016",14,"2016-06-02","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",15,"2016-05-19",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",15,"2016-06-02",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",1,"2017-02-04","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",1,"2017-05-24","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",1,"2017-06-13","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",2,"2017-02-04","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",2,"2017-05-24","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",2,"2017-06-13","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",3,"2017-02-04","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",3,"2017-05-24","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",3,"2017-06-22","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",4,"2017-02-04","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",4,"2017-05-24","FE010",200,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",4,"2017-06-22","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",5,"2017-02-04","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",5,"2017-05-24","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
